chr	start	end	gene_id	gene_length
chr10	32998008	32998195	ENSG00000306920	187
chr10	111104985	111106004	ENSG00000306921	1019
chr11	124075911	124081514	ENSG00000306922	5603
chr9	37603193	37632305	ENSG00000306923	29112
chr7	91201738	91202800	ENSG00000306924	1062
chr8	64578586	64579626	ENSG00000306925	1040
chr8	69854904	69943216	ENSG00000306926	88312
chr15	52221475	52224596	ENSG00000306927	3121
chr4	51841285	51842909	ENSG00000306928	1624
chr4	92011275	92028995	ENSG00000306929	17720
chr17	81398716	81398986	ENSG00000306930	270
chr6	137729062	137730180	ENSG00000306931	1118
chr4	22146424	22160735	ENSG00000306933	14311
chr18	76697553	76703343	ENSG00000306934	5790
chr8	10893548	10897055	ENSG00000306935	3507
chr17	7484450	7484699	ENSG00000306936	249
chr7	35396	36547	ENSG00000306937	1151
chr16	57661529	57668252	ENSG00000306939	6723
chr2	124969630	125002335	ENSG00000306940	32705
chr9	81506227	81528216	ENSG00000306941	21989
chr11	57898144	57902182	ENSG00000306942	4038
chr11	124078451	124078607	ENSG00000306943	156
chr9	1298255	1367055	ENSG00000306944	68800
chr3	154367424	154372286	ENSG00000306945	4862
chr11	40110294	40125494	ENSG00000306946	15200
chr4	24245421	24246663	ENSG00000306947	1242
chr6	137737840	137738331	ENSG00000306948	491
chr11	38123034	38337195	ENSG00000306949	214161
chr8	10891181	10892532	ENSG00000306950	1351
chr15	69077616	69126124	ENSG00000306951	48508
chr2	85936025	85938277	ENSG00000306952	2252
chr6	158099193	158111540	ENSG00000306953	12347
chr1	216042592	216045141	ENSG00000306954	2549
chr22	21359582	21368788	ENSG00000306955	9206
chr12	125994244	126002064	ENSG00000306956	7820
chr1	225481609	225484194	ENSG00000306957	2585
chr10	105461233	105473413	ENSG00000306958	12180
chr15	32435125	32439426	ENSG00000306959	4301
chr11	38189071	38190043	ENSG00000306960	972
chr11	58963562	58964280	ENSG00000306961	718
chr2	19491059	19674344	ENSG00000306962	183285
chr3	193645331	193683133	ENSG00000306963	37802
chr7	51809517	51839486	ENSG00000306964	29969
chr3	8680002	8680929	ENSG00000306965	927
chr11	39479185	39806977	ENSG00000306966	327792
chr4	1114132	1191322	ENSG00000306967	77190
chr8	100789317	100810807	ENSG00000306968	21490
chr5	141921623	141924063	ENSG00000306969	2440
chr13	26876566	26904862	ENSG00000306970	28296
chr15	56319461	56327626	ENSG00000306971	8165
chr6	22710369	22713025	ENSG00000306972	2656
chr11	11247355	11261735	ENSG00000306973	14380
chr14	100084336	100091372	ENSG00000306974	7036
chr11	93504875	93524867	ENSG00000306975	19992
chr16	11205942	11208123	ENSG00000306976	2181
chr1	35665300	35669108	ENSG00000306977	3808
chr11	39542284	39549927	ENSG00000306978	7643
chr1	81268118	81306574	ENSG00000306979	38456
chr19	29093112	29094632	ENSG00000306980	1520
chr8	100776451	100790586	ENSG00000306981	14135
chr1	192106205	192139822	ENSG00000306983	33617
chr4	38801105	38805767	ENSG00000306984	4662
chr17	68292072	68292707	ENSG00000306985	635
chr17	2122880	2128338	ENSG00000306986	5458
chr1	146932533	146934485	ENSG00000306987	1952
chr10	129360012	129366081	ENSG00000306988	6069
chr18	7387903	7394949	ENSG00000306989	7046
chr2	19635773	19645270	ENSG00000306990	9497
chr6	146720588	146771216	ENSG00000306991	50628
chr8	129077865	129104298	ENSG00000306992	26433
chr22	38457322	38461677	ENSG00000306993	4355
chr4	118838785	118842230	ENSG00000306994	3445
chr20	4564315	4574338	ENSG00000306995	10023
chr10	29821297	29829116	ENSG00000306996	7819
chr11	3280434	3351263	ENSG00000306997	70829
chr20	49568574	49571934	ENSG00000306999	3360
chr16	33571780	33578194	ENSG00000307000	6414
chr19	53908607	53909028	ENSG00000307001	421
chr3	41023803	41029589	ENSG00000307002	5786
chr13	45224766	45243281	ENSG00000307003	18515
chr1	220746443	220748138	ENSG00000307004	1695
chr2	19660332	19668305	ENSG00000307005	7973
chr12	33317765	33322395	ENSG00000307006	4630
chr19	39391321	39403031	ENSG00000307007	11710
chr5	9931879	9964940	ENSG00000307008	33061
chr6	34219370	34219703	ENSG00000307009	333
chr8	8295604	8297881	ENSG00000307010	2277
chr1	9628393	9629425	ENSG00000307011	1032
chr4	1200615	1203191	ENSG00000307012	2576
chr14	100973825	100982573	ENSG00000307013	8748
chr6	169933666	169952222	ENSG00000307014	18556
chr14	98774461	98775388	ENSG00000307015	927
chr20	49568349	49568620	ENSG00000307016	271
chr5	68373025	68374800	ENSG00000307017	1775
chr7	6349056	6365778	ENSG00000307018	16722
chr11	82889512	82898380	ENSG00000307019	8868
chr13	45360119	45373700	ENSG00000307020	13581
chr15	87178718	87197320	ENSG00000307021	18602
chr8	20320657	20349121	ENSG00000307022	28464
chr5	170335511	170336907	ENSG00000307023	1396
chr11	127363155	127539124	ENSG00000307024	175969
chr19	39400936	39402669	ENSG00000307025	1733
chr10	62694455	62696727	ENSG00000307027	2272
chr3	129021271	129026729	ENSG00000307028	5458
chr7	105980588	105982385	ENSG00000307029	1797
chr18	10032670	10034194	ENSG00000307030	1524
chr1	119412927	119416264	ENSG00000307032	3337
chr10	45846957	45853831	ENSG00000307033	6874
chr18	63422633	63423946	ENSG00000307035	1313
chr11	130447865	130450068	ENSG00000307036	2203
chr3	72325338	72329486	ENSG00000307037	4148
chr1	168354345	168576502	ENSG00000307038	222157
chr3	27023774	27090480	ENSG00000307039	66706
chr1	158724040	158744360	ENSG00000307040	20320
chr17	57144810	57205092	ENSG00000307041	60282
chr4	33379583	33467811	ENSG00000307042	88228
chr18	63422718	63423997	ENSG00000307043	1279
chr12	108178076	108240519	ENSG00000307044	62443
chr11	3410058	3422522	ENSG00000307045	12464
chr11	111765951	111767413	ENSG00000307046	1462
chr10	24724249	24724649	ENSG00000307047	400
chr21	45535501	45535777	ENSG00000307048	276
chr4	60608713	60611702	ENSG00000307049	2989
chr10	9064274	9065824	ENSG00000307050	1550
chr5	83388145	83398290	ENSG00000307051	10145
chr20	8998093	9000574	ENSG00000307052	2481
chr3	57013921	57014495	ENSG00000307053	574
chr19	39403477	39403926	ENSG00000307054	449
chr1	152968694	152972575	ENSG00000307055	3881
chr2	106477298	106487452	ENSG00000307056	10154
chr11	127941814	128006008	ENSG00000307057	64194
chr14	77990026	77993935	ENSG00000307058	3909
chr5	181437778	181455262	ENSG00000307059	17484
chr12	51043783	51048224	ENSG00000307060	4441
chr11	3391308	3401238	ENSG00000307062	9930
chr5	83134678	83135829	ENSG00000307063	1151
chr7	107167249	107169156	ENSG00000307064	1907
chr21	45532741	45532848	ENSG00000307065	107
chr17	7834599	7835734	ENSG00000307066	1135
chr19	39398097	39398423	ENSG00000307067	326
chr6	66852248	66889824	ENSG00000307068	37576
chr8	63489949	63494582	ENSG00000307070	4633
chr2	106553907	106557632	ENSG00000307071	3725
chr9	112332944	112334341	ENSG00000307073	1397
chr4	45922874	45923912	ENSG00000307074	1038
chr1	168629765	168701909	ENSG00000307075	72144
chr12	5046689	5052104	ENSG00000307076	5415
chr7	107168125	107168732	ENSG00000307078	607
chr5	181460989	181472845	ENSG00000307079	11856
chr15	40343203	40345632	ENSG00000307080	2429
chr17	7835329	7835653	ENSG00000307081	324
chr9	41530263	41531910	ENSG00000307082	1647
chr1	68391079	68391956	ENSG00000307083	877
chr5	63301522	63340097	ENSG00000307084	38575
chr3	50518049	50530736	ENSG00000307085	12687
chr2	106511100	106511766	ENSG00000307086	666
chr5	34585737	34591295	ENSG00000307087	5558
chr5	23503679	23507347	ENSG00000307089	3668
chr1	168575886	168641277	ENSG00000307090	65391
chr9	998935	1018477	ENSG00000307091	19542
chr5	181454342	181464250	ENSG00000307092	9908
chr4	146124162	146129643	ENSG00000307093	5481
chr4	20760068	20765790	ENSG00000307094	5722
chr6	110039847	110041508	ENSG00000307095	1661
chr1	143767289	143839356	ENSG00000307096	72067
chr1	234477998	234480206	ENSG00000307097	2208
chr11	66677963	66684725	ENSG00000307098	6762
chr5	34584491	34586655	ENSG00000307099	2164
chr6	21750351	21753869	ENSG00000307100	3518
chr1	150500861	150535898	ENSG00000307101	35037
chr1	19039362	19055178	ENSG00000307102	15816
chr19	8609816	8610296	ENSG00000307103	480
chr12	59298269	59328615	ENSG00000307104	30346
chr6	110415613	110423857	ENSG00000307105	8244
chr2	174332289	174335959	ENSG00000307106	3670
chr2	144490973	144501960	ENSG00000307107	10987
chr1	202958462	202964759	ENSG00000307108	6297
chr15	63843565	63850066	ENSG00000307109	6501
chr1	188656696	188668639	ENSG00000307110	11943
chr15	32466899	32527035	ENSG00000307111	60136
chr13	57787162	57983839	ENSG00000307112	196677
chr5	34587085	34587835	ENSG00000307113	750
chr14	81588232	81589073	ENSG00000307114	841
chr5	58089133	58090368	ENSG00000307115	1235
chr21	10332056	10333459	ENSG00000307116	1403
chr1	203556706	203557537	ENSG00000307117	831
chr9	102760617	102780417	ENSG00000307118	19800
chr14	105077608	105093173	ENSG00000307120	15565
chr1	110472418	110473658	ENSG00000307121	1240
chr6	21663867	21665098	ENSG00000307123	1231
chr17	78337666	78339347	ENSG00000307124	1681
chr20	6349214	6355845	ENSG00000307125	6631
chr1	168666290	168672021	ENSG00000307126	5731
chr10	63706936	63707402	ENSG00000307127	466
chr16	54056195	54056842	ENSG00000307128	647
chr13	44809467	44832142	ENSG00000307129	22675
chr1	34468867	34559249	ENSG00000307130	90382
chr1	93963824	93967166	ENSG00000307131	3342
chr7	64231489	64240469	ENSG00000307132	8980
chr11	18634587	18635993	ENSG00000307133	1406
chr20	59424997	59445938	ENSG00000307134	20941
chr3	165073152	165082037	ENSG00000307135	8885
chr3	101724165	101724924	ENSG00000307136	759
chr1	143826420	143884572	ENSG00000307137	58152
chr6	24796680	24797866	ENSG00000307138	1186
chr8	80614972	80617042	ENSG00000307139	2070
chr14	105065609	105066173	ENSG00000307140	564
chr8	103444695	103445713	ENSG00000307141	1018
chr17	78324748	78325376	ENSG00000307142	628
chr11	129639718	129642064	ENSG00000307144	2346
chr8	23272867	23273482	ENSG00000307145	615
chr3	128557599	128559686	ENSG00000307146	2087
chr13	77722144	77734660	ENSG00000307147	12516
chr6	73580094	73586564	ENSG00000307148	6470
chr1	168583226	168585870	ENSG00000307149	2644
chr2	144515175	144515721	ENSG00000307150	546
chr5	176535371	176539288	ENSG00000307151	3917
chr13	44815535	44819363	ENSG00000307152	3828
chr6	21807957	21809127	ENSG00000307153	1170
chr1	212667609	212675398	ENSG00000307154	7789
chr5	83852732	83900363	ENSG00000307155	47631
chr20	1491563	1511564	ENSG00000307156	20001
chr3	102710844	102727624	ENSG00000307157	16780
chr2	173964385	173964634	ENSG00000307158	249
chr11	41857302	41876602	ENSG00000307159	19300
chr7	6279068	6279427	ENSG00000307160	359
chr18	64851728	64930885	ENSG00000307161	79157
chr2	10497559	10501231	ENSG00000307162	3672
chr16	75559068	75559586	ENSG00000307163	518
chr2	130390613	130391994	ENSG00000307164	1381
chr22	20226761	20228564	ENSG00000307165	1803
chr5	2840316	2851785	ENSG00000307167	11469
chr9	85177204	85179522	ENSG00000307168	2318
chr12	96035339	96053557	ENSG00000307169	18218
chr20	11687476	11690605	ENSG00000307170	3129
chr20	17699251	17699875	ENSG00000307171	624
chr5	141847746	141850742	ENSG00000307172	2996
chr8	93156963	93167530	ENSG00000307173	10567
chr5	83879475	83896227	ENSG00000307174	16752
chr15	32468449	32473504	ENSG00000307175	5055
chr17	59845960	59846950	ENSG00000307176	990
chr21	42449211	42450497	ENSG00000307177	1286
chr8	141085156	141101092	ENSG00000307178	15936
chr6	21761997	21762112	ENSG00000307179	115
chr8	117639814	117663404	ENSG00000307180	23590
chr5	61375057	61377037	ENSG00000307181	1980
chr8	131706076	131709475	ENSG00000307182	3399
chr18	64988623	64993114	ENSG00000307183	4491
chr9	5844048	5856766	ENSG00000307184	12718
chr3	25226601	25255441	ENSG00000307185	28840
chr6	26223202	26223995	ENSG00000307186	793
chr1	143744838	143787340	ENSG00000307187	42502
chr19	30733788	30740959	ENSG00000307188	7171
chr12	96036009	96040770	ENSG00000307189	4761
chr14	54566893	54568386	ENSG00000307190	1493
chr20	56659627	56689370	ENSG00000307191	29743
chr8	11789350	11791138	ENSG00000307192	1788
chr3	185971577	185973300	ENSG00000307193	1723
chr14	81561029	81562099	ENSG00000307194	1070
chr16	68241188	68245133	ENSG00000307195	3945
chr5	1786442	1790848	ENSG00000307196	4406
chr20	9211004	9218557	ENSG00000307197	7553
chr11	45106485	45128504	ENSG00000307198	22019
chr1	175922603	175937330	ENSG00000307199	14727
chr8	141088331	141095604	ENSG00000307200	7273
chr15	34498933	34515338	ENSG00000307201	16405
chr21	22598611	22601509	ENSG00000307202	2898
chr14	106400814	106401425	ENSG00000307203	611
chr1	212674498	212678920	ENSG00000307204	4422
chr13	51190718	51192578	ENSG00000307205	1860
chr20	56689566	56703848	ENSG00000307207	14282
chr19	30715639	30719714	ENSG00000307208	4075
chr14	64703747	64704843	ENSG00000307209	1096
chr5	27736892	27743501	ENSG00000307211	6609
chr1	24413206	24413669	ENSG00000307212	463
chr10	91772314	91780591	ENSG00000307213	8277
chr15	38874705	38896713	ENSG00000307214	22008
chr10	124083488	124092745	ENSG00000307215	9257
chr1	16034513	16039902	ENSG00000307216	5389
chr6	126433549	126481110	ENSG00000307217	47561
chr2	101282452	101282914	ENSG00000307218	462
chr20	9333296	9333815	ENSG00000307219	519
chr1	163931963	164051649	ENSG00000307220	119686
chr22	18865042	18871095	ENSG00000307221	6053
chr1	88992971	89113598	ENSG00000307222	120627
chr15	34495772	34499715	ENSG00000307223	3943
chr1	212699907	212700628	ENSG00000307224	721
chr9	135130443	135135521	ENSG00000307225	5078
chr1	96909907	96926005	ENSG00000307226	16098
chr9	130565439	130575997	ENSG00000307227	10558
chr7	44884772	44908786	ENSG00000307228	24014
chr1	143928798	143938132	ENSG00000307229	9334
chr15	59993332	59994682	ENSG00000307230	1350
chr5	35420365	35493479	ENSG00000307231	73114
chr1	117128869	117140209	ENSG00000307232	11340
chr8	143070490	143073091	ENSG00000307233	2601
chr15	39213777	39231606	ENSG00000307234	17829
chr9	40754861	40768363	ENSG00000307235	13502
chr4	80264212	80267378	ENSG00000307236	3166
chr2	158965237	158968113	ENSG00000307237	2876
chr17	22377005	22378627	ENSG00000307238	1622
chr10	117838510	117840176	ENSG00000307239	1666
chr1	88912053	88983843	ENSG00000307240	71790
chr3	51539664	51541057	ENSG00000307241	1393
chr11	72163157	72180724	ENSG00000307242	17567
chr9	82532308	82601460	ENSG00000307243	69152
chr10	119459503	119461306	ENSG00000307244	1803
chr2	237545406	237551229	ENSG00000307245	5823
chr10	121038484	121077479	ENSG00000307246	38995
chr7	63789928	63811527	ENSG00000307247	21599
chr1	218642527	218669812	ENSG00000307248	27285
chr1	25129838	25175117	ENSG00000307250	45279
chr1	68465157	68468565	ENSG00000307251	3408
chr1	207645689	207647664	ENSG00000307252	1975
chr1	10589712	10605367	ENSG00000307253	15655
chr2	11979435	12064353	ENSG00000307254	84918
chr14	104766112	104766952	ENSG00000307255	840
chr6	139679269	139697473	ENSG00000307256	18204
chr7	57305464	57329817	ENSG00000307257	24353
chr11	12031510	12037403	ENSG00000307258	5893
chr1	143847755	143850256	ENSG00000307259	2501
chr4	11885687	12022704	ENSG00000307260	137017
chr10	121055320	121070031	ENSG00000307261	14711
chr2	165746794	165750039	ENSG00000307262	3245
chr2	19362348	19364625	ENSG00000307264	2277
chr5	149287961	149288573	ENSG00000307265	612
chr10	19980422	20005671	ENSG00000307266	25249
chr9	97786635	97788310	ENSG00000307267	1675
chr6	126069856	126098336	ENSG00000307268	28480
chr15	47124691	47177525	ENSG00000307269	52834
chr12	41939506	41942546	ENSG00000307270	3040
chr14	76734699	76743850	ENSG00000307271	9151
chr11	123684032	123722074	ENSG00000307272	38042
chr11	46428589	46429381	ENSG00000307273	792
chr6	32820801	32830196	ENSG00000307274	9395
chr7	74254487	74255347	ENSG00000307275	860
chr2	95786907	95794408	ENSG00000307276	7501
chr2	19362439	19364127	ENSG00000307277	1688
chr16	17962122	17962749	ENSG00000307278	627
chr3	30932217	31079056	ENSG00000307279	146839
chr4	1991985	1994059	ENSG00000307280	2074
chr12	33439049	33440343	ENSG00000307281	1294
chr6	126038191	126042102	ENSG00000307282	3911
chr2	12131214	12133117	ENSG00000307283	1903
chr5	67214225	67408484	ENSG00000307284	194259
chr13	112204680	112214479	ENSG00000307285	9799
chr20	24812274	24814209	ENSG00000307286	1935
chr4	83957736	83978834	ENSG00000307287	21098
chr2	150496271	150519281	ENSG00000307288	23010
chr6	3069027	3070065	ENSG00000307289	1038
chr11	8827298	8827906	ENSG00000307290	608
chr6	15595802	15597859	ENSG00000307291	2057
chr17	81334535	81340422	ENSG00000307292	5887
chr2	128375963	128379087	ENSG00000307293	3124
chr1	69567491	69567744	ENSG00000307294	253
chr2	177596409	177604518	ENSG00000307295	8109
chr9	60838318	60843590	ENSG00000307296	5272
chr21	28335335	28380631	ENSG00000307297	45296
chr6	134115326	134117826	ENSG00000307298	2500
chr6	15211222	15211558	ENSG00000307299	336
chr15	39140209	39141078	ENSG00000307300	869
chr19	45273134	45280736	ENSG00000307301	7602
chr10	30488158	30491998	ENSG00000307302	3840
chr2	52691295	52698124	ENSG00000307303	6829
chr5	67236272	67241577	ENSG00000307304	5305
chr22	26445445	26451322	ENSG00000307305	5877
chr17	81344935	81349258	ENSG00000307306	4323
chr1	24662626	24722787	ENSG00000307307	60161
chr11	85683129	85683680	ENSG00000307308	551
chr19	11847855	11849195	ENSG00000307309	1340
chr6	24726917	24749462	ENSG00000307310	22545
chr21	28885357	28896386	ENSG00000307311	11029
chr5	67215128	67215703	ENSG00000307312	575
chr2	98345401	98347349	ENSG00000307313	1948
chr2	120577040	120581977	ENSG00000307314	4937
chr2	8684915	8703418	ENSG00000307315	18503
chr2	101250576	101252715	ENSG00000307316	2139
chr2	148539923	148545805	ENSG00000307317	5882
chr2	160813451	160895737	ENSG00000307318	82286
chr19	17336692	17338077	ENSG00000307319	1385
chr1	111213462	111216057	ENSG00000307320	2595
chr7	82596015	82667468	ENSG00000307321	71453
chr2	169576659	169584766	ENSG00000307322	8107
chr19	21877687	21917513	ENSG00000307323	39826
chr15	30828564	30856011	ENSG00000307324	27447
chr1	24720366	24731021	ENSG00000307325	10655
chr7	107078840	107079462	ENSG00000307326	622
chr17	81346414	81348058	ENSG00000307327	1644
chr18	14887773	14917438	ENSG00000307328	29665
chr7	140246328	140271005	ENSG00000307329	24677
chr4	36256045	36256927	ENSG00000307330	882
chr2	42810544	42940488	ENSG00000307331	129944
chr1	205122295	205140498	ENSG00000307332	18203
chr14	57163685	57189153	ENSG00000307333	25468
chr10	26992178	26993318	ENSG00000307334	1140
chr2	148538873	148540274	ENSG00000307335	1401
chr1	30929209	30941316	ENSG00000307336	12107
chr21	35719350	35719544	ENSG00000307337	194
chr15	30801439	30824788	ENSG00000307338	23349
chr19	21922000	21927671	ENSG00000307339	5671
chr18	14881113	14902599	ENSG00000307340	21486
chr7	140230904	140257968	ENSG00000307342	27064
chr2	42801321	42840254	ENSG00000307343	38933
chr17	22384056	22387618	ENSG00000307344	3562
chr13	59634157	59660292	ENSG00000307345	26135
chr16	81443637	81445597	ENSG00000307346	1960
chr11	62356795	62360802	ENSG00000307347	4007
chr11	83637693	83638611	ENSG00000307348	918
chr11	1665240	1666768	ENSG00000307349	1528
chr1	199774935	199783750	ENSG00000307350	8815
chr20	5678808	5686835	ENSG00000307351	8027
chr14	90820176	90821682	ENSG00000307352	1506
chr17	20533014	20558032	ENSG00000307353	25018
chr20	23818069	23821237	ENSG00000307354	3168
chr15	30795507	30801505	ENSG00000307355	5998
chr4	134627572	134640355	ENSG00000307356	12783
chr19	21915622	21916701	ENSG00000307357	1079
chr1	47230262	47231414	ENSG00000307358	1152
chr21	28418956	28422462	ENSG00000307359	3506
chr7	18103316	18104028	ENSG00000307360	712
chr9	77967571	78030902	ENSG00000307361	63331
chr2	42851979	42866193	ENSG00000307362	14214
chr17	22396917	22397943	ENSG00000307364	1026
chr22	37744310	37751839	ENSG00000307365	7529
chr12	53131487	53143844	ENSG00000307367	12357
chr11	8202758	8224376	ENSG00000307368	21618
chr20	9884689	9889764	ENSG00000307369	5075
chr2	578614	583909	ENSG00000307370	5295
chr15	28454588	28457903	ENSG00000307371	3315
chr6	117526822	117546822	ENSG00000307372	20000
chr9	88853056	88872379	ENSG00000307373	19323
chr2	176002353	176002515	ENSG00000307374	162
chr1	47231906	47232342	ENSG00000307375	436
chr15	30900329	30903840	ENSG00000307376	3511
chr9	115118418	115119030	ENSG00000307377	612
chr2	20236282	20241888	ENSG00000307378	5606
chr9	77946037	77988707	ENSG00000307379	42670
chr12	64759665	64761819	ENSG00000307380	2154
chr2	42863553	42869451	ENSG00000307381	5898
chr17	22395018	22395864	ENSG00000307382	846
chr1	20124765	20125277	ENSG00000307383	512
chr8	63572967	63577852	ENSG00000307384	4885
chr12	27810817	27824114	ENSG00000307385	13297
chr11	8200126	8206467	ENSG00000307386	6341
chr11	62400589	62402410	ENSG00000307387	1821
chr7	55624685	55656872	ENSG00000307388	32187
chr21	28392575	28393335	ENSG00000307389	760
chr1	248708226	248731114	ENSG00000307390	22888
chr1	232750062	232773622	ENSG00000307391	23560
chr13	109453107	109471358	ENSG00000307392	18251
chr6	153131785	153132672	ENSG00000307393	887
chr8	6787110	6788023	ENSG00000307394	913
chr9	77769509	77772210	ENSG00000307395	2701
chr1	39512482	39514826	ENSG00000307396	2344
chr12	64780047	64780754	ENSG00000307397	707
chr2	42875522	42880209	ENSG00000307398	4687
chr12	27975148	27977256	ENSG00000307399	2108
chr6	63395407	63404209	ENSG00000307400	8802
chr11	8229265	8229497	ENSG00000307401	232
chr11	62400991	62401431	ENSG00000307402	440
chr4	185989992	186012840	ENSG00000307403	22848
chr16	56277070	56279349	ENSG00000307404	2279
chr1	248512616	248513060	ENSG00000307405	444
chr3	126559032	126605271	ENSG00000307406	46239
chr2	234839349	234840699	ENSG00000307407	1350
chr3	80051886	80137333	ENSG00000307408	85447
chr12	75870278	75884841	ENSG00000307409	14563
chr4	162458057	162461933	ENSG00000307410	3876
chr2	85326613	85342105	ENSG00000307411	15492
chr4	32820936	33061106	ENSG00000307412	240170
chr3	132970669	132972803	ENSG00000307413	2134
chr6	63516565	63517005	ENSG00000307414	440
chr3	26104712	26208195	ENSG00000307415	103483
chr10	8083243	8084274	ENSG00000307416	1031
chr14	99941862	99949234	ENSG00000307417	7372
chr1	181067591	181070814	ENSG00000307418	3223
chr4	123326619	123328460	ENSG00000307419	1841
chr4	73704290	73704663	ENSG00000307420	373
chr1	248535002	248535442	ENSG00000307421	440
chr11	81213112	81252975	ENSG00000307422	39863
chr21	7130334	7131029	ENSG00000307424	695
chr9	87070306	87079449	ENSG00000307425	9143
chr8	137838735	137840571	ENSG00000307426	1836
chr13	94132860	94142083	ENSG00000307427	9223
chr1	108834208	108837082	ENSG00000307428	2874
chr2	10709188	10717592	ENSG00000307429	8404
chr4	33023014	33024523	ENSG00000307430	1509
chr3	50454136	50455582	ENSG00000307431	1446
chr12	129466776	129468645	ENSG00000307432	1869
chr17	62473714	62478018	ENSG00000307433	4304
chr13	42798499	42824821	ENSG00000307434	26322
chr10	71246418	71251602	ENSG00000307435	5184
chr11	81208523	81210008	ENSG00000307436	1485
chr9	108310665	108417028	ENSG00000307437	106363
chr15	62208031	62208983	ENSG00000307438	952
chr7	128693267	128709182	ENSG00000307439	15915
chr1	221846074	221916515	ENSG00000307440	70441
chr17	50055242	50055476	ENSG00000307441	234
chr20	52726952	52727864	ENSG00000307442	912
chr2	13307453	13307872	ENSG00000307443	419
chr1	144153169	144171139	ENSG00000307444	17970
chr4	185075177	185086283	ENSG00000307445	11106
chr3	4467321	4469632	ENSG00000307446	2311
chr6	140239496	140252260	ENSG00000307447	12764
chr1	42132939	42148180	ENSG00000307448	15241
chr12	59883898	59977337	ENSG00000307449	93439
chr1	116240829	116242076	ENSG00000307450	1247
chr11	114651036	114651544	ENSG00000307451	508
chr16	75788587	75914827	ENSG00000307452	126240
chr13	21851313	21872566	ENSG00000307453	21253
chr9	96383754	96398901	ENSG00000307454	15147
chr4	36730628	36747437	ENSG00000307455	16809
chr11	81367032	81367961	ENSG00000307456	929
chr17	16893655	16947170	ENSG00000307457	53515
chr1	221976622	222015923	ENSG00000307458	39301
chr16	28597162	28603055	ENSG00000307459	5893
chr14	61031220	61049584	ENSG00000307460	18364
chr9	80379200	80384596	ENSG00000307461	5396
chr14	98093321	98116675	ENSG00000307462	23354
chr9	63408682	63421382	ENSG00000307463	12700
chr17	36322952	36323776	ENSG00000307464	824
chr9	12948678	12974182	ENSG00000307465	25504
chr13	46387353	46388220	ENSG00000307466	867
chr6	140314948	140320699	ENSG00000307467	5751
chr12	62967321	63023038	ENSG00000307468	55717
chr2	68907993	68931506	ENSG00000307469	23513
chr9	97891957	97893269	ENSG00000307471	1312
chr2	96316747	96326105	ENSG00000307472	9358
chr21	43282871	43288280	ENSG00000307473	5409
chr16	82551105	82603513	ENSG00000307474	52408
chr19	36781307	36792600	ENSG00000307475	11293
chr1	67951690	67955333	ENSG00000307476	3643
chr14	76535932	76536301	ENSG00000307477	369
chr5	159109293	159131172	ENSG00000307478	21879
chr14	67072688	67189332	ENSG00000307479	116644
chr2	231620439	231621656	ENSG00000307480	1217
chr16	76235107	76296153	ENSG00000307481	61046
chr6	134052304	134056580	ENSG00000307482	4276
chr16	28612581	28615886	ENSG00000307483	3305
chr16	67697663	67698403	ENSG00000307484	740
chr6	84774939	84797631	ENSG00000307486	22692
chr4	184308922	184314162	ENSG00000307487	5240
chr10	68900361	68901051	ENSG00000307488	690
chr4	22954729	22997448	ENSG00000307489	42719
chr9	63440679	63441566	ENSG00000307490	887
chr20	7803878	7818619	ENSG00000307491	14741
chr17	49390737	49393928	ENSG00000307492	3191
chr9	13037875	13045101	ENSG00000307493	7226
chr13	19884237	19884887	ENSG00000307494	650
chr12	56360011	56380976	ENSG00000307495	20965
chr16	82575592	82596977	ENSG00000307496	21385
chr5	103032240	103057353	ENSG00000307497	25113
chr19	36838448	36849365	ENSG00000307498	10917
chr3	27486235	27507133	ENSG00000307499	20898
chr1	203537888	203556253	ENSG00000307500	18365
chr11	31385903	31393065	ENSG00000307501	7162
chr8	79182721	79191083	ENSG00000307502	8362
chr7	437297	438302	ENSG00000307503	1005
chr4	189617469	189627263	ENSG00000307504	9794
chr9	103524176	103546490	ENSG00000307505	22314
chr3	144109476	144112262	ENSG00000307506	2786
chr11	115536563	115545610	ENSG00000307507	9047
chr8	49718083	49719474	ENSG00000307508	1391
chr20	9619954	9626996	ENSG00000307509	7042
chr4	180059209	180178671	ENSG00000307510	119462
chr13	28308522	28309366	ENSG00000307511	844
chr6	13773322	13791284	ENSG00000307512	17962
chr9	129383194	129383487	ENSG00000307513	293
chr14	92287239	92315409	ENSG00000307514	28170
chr5	30346374	30381069	ENSG00000307515	34695
chr1	161730272	161736771	ENSG00000307516	6499
chr4	89008229	89020535	ENSG00000307517	12306
chr19	41180057	41186934	ENSG00000307518	6877
chr10	43877429	43878519	ENSG00000307519	1090
chr15	21263122	21271540	ENSG00000307520	8418
chr10	63628102	63630052	ENSG00000307521	1950
chr10	84548307	84549563	ENSG00000307522	1256
chr5	180590535	180594274	ENSG00000307523	3739
chr10	3852079	3852538	ENSG00000307524	459
chr13	46295274	46295625	ENSG00000307525	351
chr8	33604359	33609631	ENSG00000307526	5272
chr18	22345206	22348539	ENSG00000307527	3333
chr2	24400393	24403500	ENSG00000307528	3107
chr3	127258670	127268464	ENSG00000307529	9794
chr15	21268222	21275629	ENSG00000307530	7407
chr16	52547299	52563043	ENSG00000307532	15744
